index,continent,CNT1,PV1MATH,ST57Q01
"(-5.95, -4.573](-4.573, -3.196]",Europe,Norway,369.409930769,2.92307692308
"(-5.95, -4.573](-4.573, -3.196]",Europe,Poland,453.875886207,6.89655172414
"(-5.95, -4.573](-4.573, -3.196]",Europe,Portugal,432.841563429,3.19714285714
"(-5.95, -4.573](-4.573, -3.196]",Europe,Romania,395.414653333,5.22666666667
"(-5.95, -4.573](-4.573, -3.196]",Europe,Russia,428.976478,7.06
"(-5.95, -4.573](-4.573, -3.196]",Europe,Serbia,396.095496104,5.11688311688
"(-5.95, -4.573](-4.573, -3.196]",Europe,Slovakia,323.22575,2.30555555556
"(-5.95, -4.573](-4.573, -3.196]",Europe,Slovenia,426.155855556,3.83333333333
"(-5.95, -4.573](-4.573, -3.196]",Europe,Spain,429.59119157,5.21983471074
"(-5.95, -4.573](-4.573, -3.196]",Europe,Sweden,384.400476667,3.66666666667
"(-5.95, -4.573](-4.573, -3.196]",Europe,Switzerland,421.76309011,3.72527472527
"(-5.95, -4.573](-4.573, -3.196]",Europe,Turkey,420.128192666,4.29946524064
"(-5.95, -4.573](-4.573, -3.196]",Europe,UK,449.782726316,2.78947368421
"(-5.95, -4.573](-4.573, -3.196]",North America,Canada,436.420519608,5.39215686275
"(-5.95, -4.573](-4.573, -3.196]",North America,Mexico,396.651316481,4.70730084816
"(-5.95, -4.573](-4.573, -3.196]",North America,USA,436.468739048,4.78095238095
"(-5.95, -4.573](-4.573, -3.196]",Oceania,Australia,422.211403846,4.92307692308
"(-5.95, -4.573](-4.573, -3.196]",Oceania,New Zealand,428.501321053,5.94736842105
"(-5.95, -4.573](-4.573, -3.196]",South America,Argentina,361.68559477,3.29079497908
"(-5.95, -4.573](-4.573, -3.196]",South America,Brazil,358.113414961,3.2098459846
"(-5.95, -4.573](-4.573, -3.196]",South America,Chile,375.878353456,3.24884792627
"(-5.95, -4.573](-4.573, -3.196]",South America,Colombia,358.058858943,4.52075471698
"(-5.95, -4.573](-4.573, -3.196]",South America,Peru,328.365243675,4.78547008547
"(-5.95, -4.573](-4.573, -3.196]",South America,Uruguay,378.565943505,4.41001564945
"(-5.95, -4.573](-3.196, -1.819]",Africa,Tunisia,389.42127138,3.5370496261
"(-5.95, -4.573](-3.196, -1.819]",Asia,China,573.073127138,11.8922558923
"(-5.95, -4.573](-3.196, -1.819]",Asia,Hong Kong,550.176101356,5.97395550733
"(-5.95, -4.573](-3.196, -1.819]",Asia,Indonesia,373.275931599,4.89280726257
"(-5.95, -4.573](-3.196, -1.819]",Asia,Israel,418.901898537,4.67642276423
"(-5.95, -4.573](-3.196, -1.819]",Asia,Japan,508.510851142,3.1427406199
"(-5.95, -4.573](-3.196, -1.819]",Asia,Jordan,377.865277594,4.03762827822
"(-5.95, -4.573](-3.196, -1.819]",Asia,Kazakhstan,415.325133636,7.76223776224
"(-5.95, -4.573](-3.196, -1.819]",Asia,Macau,533.728716812,5.69579692052
"(-5.95, -4.573](-3.196, -1.819]",Asia,Malaysia,403.981468657,4.30365414308
"(-5.95, -4.573](-3.196, -1.819]",Asia,Qatar,339.84896484,3.55614973262
"(-5.95, -4.573](-3.196, -1.819]",Asia,Singapore,532.465067901,8.35459533608
"(-5.95, -4.573](-3.196, -1.819]",Asia,South Korea,524.10547069,2.50530503979
"(-5.95, -4.573](-3.196, -1.819]",Asia,Taiwan,528.794303944,4.61529126214
"(-5.95, -4.573](-3.196, -1.819]",Asia,Thailand,416.144527997,5.28065956716
"(-5.95, -4.573](-3.196, -1.819]",Asia,UAE,389.900544318,5.15734265734
"(-5.95, -4.573](-3.196, -1.819]",Asia,Vietnam,504.055033393,5.65641759028
"(-5.95, -4.573](-3.196, -1.819]",Central America,Costa Rica,393.728491112,3.24594745668
"(-5.95, -4.573](-3.196, -1.819]",Europe,Austria,470.326604435,4.24193548387
"(-5.95, -4.573](-3.196, -1.819]",Europe,Belgium,489.485005092,4.67084870849
"(-5.95, -4.573](-3.196, -1.819]",Europe,Bulgaria,414.78609359,4.89823717949
"(-5.95, -4.573](-3.196, -1.819]",Europe,Croatia,450.546855479,5.41718555417
"(-5.95, -4.573](-3.196, -1.819]",Europe,Czech Republic,478.81879599,2.96354799514
"(-5.95, -4.573](-3.196, -1.819]",Europe,Denmark,444.603193609,4.54178957719
"(-5.95, -4.573](-3.196, -1.819]",Europe,Estonia,498.296082685,6.84441656211
"(-5.95, -4.573](-3.196, -1.819]",Europe,Finland,469.20335035,2.94055944056
"(-5.95, -4.573](-3.196, -1.819]",Europe,France,456.343372539,4.42770352369
"(-5.95, -4.573](-3.196, -1.819]",Europe,Germany,479.214618985,4.54500818331
"(-5.95, -4.573](-3.196, -1.819]",Europe,Greece,424.863883967,4.68387681159
"(-5.95, -4.573](-3.196, -1.819]",Europe,Hungary,453.079358182,5.4814229249
"(-5.95, -4.573](-3.196, -1.819]",Europe,Iceland,459.228931013,4.30379746835
"(-5.95, -4.573](-3.196, -1.819]",Europe,Ireland,467.503333644,6.71944121071
"(-5.95, -4.573](-3.196, -1.819]",Europe,Italy,465.112092957,7.39803590609
"(-5.95, -4.573](-3.196, -1.819]",Europe,Latvia,467.278775375,5.95131086142
"(-5.95, -4.573](-3.196, -1.819]",Europe,Lithuania,448.902268119,6.22798887859
"(-5.95, -4.573](-3.196, -1.819]",Europe,Luxembourg,446.29448254,4.01488095238
"(-5.95, -4.573](-3.196, -1.819]",Europe,Montenegro,385.704477072,4.18783068783
"(-5.95, -4.573](-3.196, -1.819]",Europe,Netherlands,490.166520722,5.46768060837
"(-5.95, -4.573](-3.196, -1.819]",Europe,Norway,465.216512321,4.38968481375
"(-5.95, -4.573](-3.196, -1.819]",Europe,Poland,489.864898395,6.44638949672
"(-5.95, -4.573](-3.196, -1.819]",Europe,Portugal,463.989357818,3.59537882859
"(-5.95, -4.573](-3.196, -1.819]",Europe,Romania,428.961463258,6.7853745541
"(-5.95, -4.573](-3.196, -1.819]",Europe,Russia,454.097560674,9.03445692884
"(-5.95, -4.573](-3.196, -1.819]",Europe,Serbia,428.36108137,4.4970544919
"(-5.95, -4.573](-3.196, -1.819]",Europe,Slovakia,454.344318969,3.54085603113
"(-5.95, -4.573](-3.196, -1.819]",Europe,Slovenia,458.547704742,3.52911813644
"(-5.95, -4.573](-3.196, -1.819]",Europe,Spain,469.024774722,5.8291230893
"(-5.95, -4.573](-3.196, -1.819]",Europe,Sweden,443.762605405,3.24504504505
"(-5.95, -4.573](-3.196, -1.819]",Europe,Switzerland,483.942982773,3.86613333333
"(-5.95, -4.573](-3.196, -1.819]",Europe,Turkey,434.640745407,4.28699186992
"(-5.95, -4.573](-3.196, -1.819]",Europe,UK,456.279226209,4.0757134537
"(-5.95, -4.573](-3.196, -1.819]",North America,Canada,476.82994204,4.29980934223
"(-5.95, -4.573](-3.196, -1.819]",North America,Mexico,408.888486661,5.1638576779
"(-5.95, -4.573](-3.196, -1.819]",North America,USA,441.89397588,5.08704318937
"(-5.95, -4.573](-3.196, -1.819]",Oceania,Australia,461.522061329,4.93534743202
"(-5.95, -4.573](-3.196, -1.819]",Oceania,New Zealand,461.245093819,3.75435816165
"(-5.95, -4.573](-3.196, -1.819]",South America,Argentina,384.098247779,3.48519362187
"(-5.95, -4.573](-3.196, -1.819]",South America,Brazil,371.487729544,3.30802792321
"(-5.95, -4.573](-3.196, -1.819]",South America,Chile,402.487582588,3.40269541779
"(-5.95, -4.573](-3.196, -1.819]",South America,Colombia,377.648983631,5.05355671519
"(-5.95, -4.573](-3.196, -1.819]",South America,Peru,355.827697733,5.28688219993
"(-5.95, -4.573](-3.196, -1.819]",South America,Uruguay,398.932815806,4.61176470588
"(-5.95, -4.573](-1.819, -0.441]",Africa,Tunisia,402.517366264,3.59025096525
"(-5.95, -4.573](-1.819, -0.441]",Asia,China,603.393223037,13.6018678658
"(-5.95, -4.573](-1.819, -0.441]",Asia,Hong Kong,563.78697461,6.1329787234
"(-5.95, -4.573](-1.819, -0.441]",Asia,Indonesia,379.4564371,5.00657698057
"(-5.95, -4.573](-1.819, -0.441]",Asia,Israel,465.035396162,4.82817269952
"(-5.95, -4.573](-1.819, -0.441]",Asia,Japan,538.080582979,3.90484282073
"(-5.95, -4.573](-1.819, -0.441]",Asia,Jordan,393.663315829,4.28992422116
"(-5.95, -4.573](-1.819, -0.441]",Asia,Kazakhstan,433.601336751,8.8218487395
"(-5.95, -4.573](-1.819, -0.441]",Asia,Macau,538.436712264,6.03386211104
"(-5.95, -4.573](-1.819, -0.441]",Asia,Malaysia,421.591462689,4.80038697194
"(-5.95, -4.573](-1.819, -0.441]",Asia,Qatar,379.994608453,4.17572062084
"(-5.95, -4.573](-1.819, -0.441]",Asia,Singapore,563.208409711,9.20584538026
"(-5.95, -4.573](-1.819, -0.441]",Asia,South Korea,555.65998913,3.01558342835
"(-5.95, -4.573](-1.819, -0.441]",Asia,Taiwan,560.214404232,5.76847592763
"(-5.95, -4.573](-1.819, -0.441]",Asia,Thailand,433.858034558,5.79928589645
"(-5.95, -4.573](-1.819, -0.441]",Asia,UAE,428.325353635,5.96648965391
"(-5.95, -4.573](-1.819, -0.441]",Asia,Vietnam,510.710081094,5.82149712092
"(-5.95, -4.573](-1.819, -0.441]",Central America,Costa Rica,407.378048897,3.4216730038
