"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

Hard Skills in Data Science,22:11,22:15,0:04,""
Total,1:24

"QUINTA-FEIRA, 8 DE JANEIRO"
Hard Skills in Data Science,23:50,23:59,0:09,""
Total,0:09

"SEXTA-FEIRA, 9 DE JANEIRO"
Hard Skills in Data Science,0:00,2:45,2:45,""
Total,2:45

"SÁBADO, 10 DE JANEIRO"
Hard Skills in Data Science,1:55,2:16,0:21,""
Hard Skills in Data Science,2:20,2:37,0:17,""
Hard Skills in Data Science,16:07,16:45,0:38,""
Total,1:16

"DOMINGO, 11 DE JANEIRO"
Hard Skills in Data Science,1:12,2:05,0:54,""
Hard Skills in Data Science,14:27,15:55,1:28,""
Total,2:22

"SEGUNDA-FEIRA, 12 DE JANEIRO"
Hard Skills in Data Science,0:03,1:11,1:09,""
Total,1:09

"TERÇA-FEIRA, 13 DE JANEIRO"
Hard Skills in Data Science,0:17,1:30,1:13,""
Hard Skills in Data Science,8:18,9:00,0:42,""
Total,1:54

"QUARTA-FEIRA, 14 DE JANEIRO"
Hard Skills in Data Science,0:15,1:57,1:43,""
Total,1:43

"QUINTA-FEIRA, 15 DE JANEIRO"
[No entries]

"SEXTA-FEIRA, 16 DE JANEIRO"
[No entries]

"SÁBADO, 17 DE JANEIRO"
Hard Skills in Data Science,15:03,15:55,0:53,""
Hard Skills in Data Science,16:11,18:15,2:03,""
Total,2:56

"DOMINGO, 18 DE JANEIRO"
Hard Skills in Data Science,15:16,16:45,1:29,""
Total,1:29

"SEGUNDA-FEIRA, 19 DE JANEIRO"
Hard Skills in Data Science,0:51,1:58,1:06,""
Hard Skills in Data Science,23:45,23:59,0:15,""
Total,1:21

"TERÇA-FEIRA, 20 DE JANEIRO"
Hard Skills in Data Science,0:06,2:34,2:28,""
Total,2:28

"QUARTA-FEIRA, 21 DE JANEIRO"
Hard Skills in Data Science,1:13,2:30,1:17,""
Total,1:17

"QUINTA-FEIRA, 22 DE JANEIRO"
[No entries]

"SEXTA-FEIRA, 23 DE JANEIRO"
Hard Skills in Data Science,0:15,1:50,1:35,""
Total,1:35

"SÁBADO, 24 DE JANEIRO"
Hard Skills in Data Science,16:30,18:02,1:32,""
Total,1:32

"DOMINGO, 25 DE JANEIRO"
Hard Skills in Data Science,14:45,16:46,2:02,""
Hard Skills in Data Science,23:29,23:59,0:30,""
Total,2:32

"SEGUNDA-FEIRA, 26 DE JANEIRO"
Hard Skills in Data Science,0:00,1:15,1:15,""
Total,1:15

"TERÇA-FEIRA, 27 DE JANEIRO"
Hard Skills in Data Science,0:26,2:36,2:10,""
Hard Skills in Data Science,17:17,17:45,0:28,""
Total,2:38

"QUARTA-FEIRA, 28 DE JANEIRO"
Hard Skills in Data Science,0:36,1:41,1:05,""
Total,1:05

"QUINTA-FEIRA, 29 DE JANEIRO"
Hard Skills in Data Science,1:11,2:02,0:50,""
Total,0:50

"SEXTA-FEIRA, 30 DE JANEIRO"
Hard Skills in Data Science,0:00,0:45,0:45,""
Hard Skills in Data Science,1:45,2:27,0:42,""
Total,1:27

"SÁBADO, 31 DE JANEIRO"
[No entries]

"DOMINGO, 1 DE FEVEREIRO"
[No entries]

"SEGUNDA-FEIRA, 2 DE FEVEREIRO"
Hard Skills in Data Science,23:30,23:59,0:30,""
Total,0:30

"TERÇA-FEIRA, 3 DE FEVEREIRO"
Hard Skills in Data Science,0:00,1:40,1:40,""
Total,1:40

"QUARTA-FEIRA, 4 DE FEVEREIRO"
Hard Skills in Data Science,1:01,2:06,1:04,""
Hard Skills in Data Science,2:26,3:11,0:45,""
Total,1:49

"QUINTA-FEIRA, 5 DE FEVEREIRO"
Hard Skills in Data Science,1:15,3:07,1:53,""
Hard Skills in Data Science,22:55,23:59,1:04,""
Total,2:57

"SEXTA-FEIRA, 6 DE FEVEREIRO"
Hard Skills in Data Science,0:00,2:42,2:43,""
Total,2:43

"SÁBADO, 7 DE FEVEREIRO"
Hard Skills in Data Science,22:22,23:59,1:37,""
Total,1:37

"DOMINGO, 8 DE FEVEREIRO"
Hard Skills in Data Science,0:00,1:30,1:30,""
Hard Skills in Data Science,1:45,2:27,0:43,""
Total,2:13

"SEGUNDA-FEIRA, 9 DE FEVEREIRO"
Hard Skills in Data Science,23:01,23:59,0:59,""
Total,0:59

"TERÇA-FEIRA, 10 DE FEVEREIRO"
Hard Skills in Data Science,0:00,1:40,1:40,""
Total,1:40

"QUARTA-FEIRA, 11 DE FEVEREIRO"
[No entries]

"QUINTA-FEIRA, 12 DE FEVEREIRO"
[No entries]

"SEXTA-FEIRA, 13 DE FEVEREIRO"
Hard Skills in Data Science,13:45,15:45,2:00,""
Total,2:00

"SÁBADO, 14 DE FEVEREIRO"
[No entries]

"DOMINGO, 15 DE FEVEREIRO"
[No entries]

"SEGUNDA-FEIRA, 16 DE FEVEREIRO"
[No entries]

"TERÇA-FEIRA, 17 DE FEVEREIRO"
[No entries]

"QUARTA-FEIRA, 18 DE FEVEREIRO"
Hard Skills in Data Science,13:30,16:45,3:15,""
Hard Skills in Data Science,18:33,19:00,0:26,""
Hard Skills in Data Science,21:33,23:30,1:56,""
Total,5:38

"QUINTA-FEIRA, 19 DE FEVEREIRO"
Hard Skills in Data Science,2:00,2:50,0:51,""
Hard Skills in Data Science,12:40,13:15,0:35,""
Hard Skills in Data Science,13:30,14:16,0:47,""
Hard Skills in Data Science,17:15,18:58,1:43,""
Total,3:56

"SEXTA-FEIRA, 20 DE FEVEREIRO"
Hard Skills in Data Science,0:30,0:58,0:29,""
Hard Skills in Data Science,0:59,1:32,0:34,""
Total,1:03

"SÁBADO, 21 DE FEVEREIRO"
[No entries]

"DOMINGO, 22 DE FEVEREIRO"
Hard Skills in Data Science,15:00,16:15,1:15,""
Hard Skills in Data Science,23:09,23:59,0:51,""
Total,2:06

"SEGUNDA-FEIRA, 23 DE FEVEREIRO"
Hard Skills in Data Science,0:00,1:00,1:00,""
Total,1:00

"TERÇA-FEIRA, 24 DE FEVEREIRO"
Hard Skills in Data Science,0:40,0:40,0:00,""
Hard Skills in Data Science,0:40,1:04,0:23,""
Hard Skills in Data Science,1:04,1:40,0:37,""
Hard Skills in Data Science,19:00,20:09,1:09,""
Total,2:09

"QUARTA-FEIRA, 25 DE FEVEREIRO"
Hard Skills in Data Science,0:00,1:45,1:45,""
Total,1:45

"QUINTA-FEIRA, 26 DE FEVEREIRO"
Hard Skills in Data Science,2:12,2:16,0:05,""
Total,0:05

"SEXTA-FEIRA, 27 DE FEVEREIRO"
Hard Skills in Data Science,0:15,0:15,0:00,""
Hard Skills in Data Science,0:15,1:38,1:23,""
Total,1:23

"SÁBADO, 28 DE FEVEREIRO"
Hard Skills in Data Science,15:00,16:45,1:45,""
Total,1:45

"DOMINGO, 1 DE MARÇO"
Hard Skills in Data Science,22:30,23:59,1:30,""
Total,1:30

"SEGUNDA-FEIRA, 2 DE MARÇO"
Hard Skills in Data Science,0:00,1:10,1:10,""
Total,1:10

"TERÇA-FEIRA, 3 DE MARÇO"
Hard Skills in Data Science,1:04,2:15,1:11,""
Total,1:11

"QUARTA-FEIRA, 4 DE MARÇO"
Hard Skills in Data Science,0:45,1:45,1:00,""
Total,1:00

"QUINTA-FEIRA, 5 DE MARÇO"
Hard Skills in Data Science,10:35,10:35,0:00,""
Hard Skills in Data Science,11:15,11:46,0:31,""
Hard Skills in Data Science,12:34,13:13,0:39,""
Hard Skills in Data Science,13:31,14:00,0:29,""
Hard Skills in Data Science,20:23,20:23,0:00,""
Hard Skills in Data Science,20:25,21:01,0:36,""
Total,2:15

